STT,address,point,tier
64,0x8754a7e10a961981a5825ced9587fb6df0416b4d6f50a6dd965aa60b7f494da8,3080000,Business
65,0x138d00a948024d9bde63297705276ac6ecec3416757b3b75a47f8441b39b704a,3080000,Business
66,0x9a522179e9a6ece9e13009e08bc9cf0100f4e4397f28390cb063585b19bf7f59,3080000,Business
67,0x509e1c71ca531887668358520035b8ba93e54a2ab63950b77d761695a8677688,2575000,Business
68,0x55c46b888bcf96b4f23c8c8aaa22b6ec8f5adb5c55caad39837c9f9c28477e85,3080000,Business
69,0xec9c3e1e65998f97024a5846cb8fc00116fed3c543715f3182d75c1ce8b4b383,4047500,Business
70,0xa474a1fec65ee505ceeaf56f6e683a8914c53f804eaa92568e1ca80724ea0551,2922500,Business
71,0x782116f22a9c835f003bef45f263c51d71ea6e705c8acb90fdc6bce9b9b1ddfb,2935000,Business
72,0xeedb9df918ce1255c588c45a7d4c579b13d67a786c0da6dfaeffa58d1e66e67e,2935000,Business
73,0x8506462466f0f6d9a8b7e6ccbebea573202d4c644ef1febdbd8c11b5df86df34,2707500,Business
74,0xca38ba53a10f4884ded50599ee232808ae76293357dc2e126e0ca80f4a4cc419,2935000,Business
75,0xdc8ca0d91d19fa8e664bb03b30e882ef549df92de79e53e0788c337055a93d24,2935000,Business
76,0x10ec362fc8f0e641f307b538f8a5623a2ee93c3b84b3b17a4da3f1b730de0a18,2935000,Business
77,0x1168255acd67565217771480ceb2cfb6a6db5593ec8457fab43f7f9e01d90f57,2935000,Business
78,0xa8a8399f38a37f24d31fb5a9c2d28cb4bd59657f139965c0c6057f50a4abe913,2917500,Business
79,0x9bcb47a52a62d956fd8d84c85d74ec8c536510a19b5d2a2f04db5d448d9b9de3,2917500,Business
80,0xbc916b8bc116eea48865f7b1f424fd6c602e5b3e9c2685dd2d3e145700b3433c,1990000,Premium
81,0xf589364ad4e4e551f9a08468ac4c122b3d7a4d369d0ed49318eafe60ff452ae2,2917500,Business
82,0x53691347d55b196e06a96ee9edb6f5607b25d7921febce8497913c00e2ff1e48,2920000,Business
83,0x11dc69cb7e861f3609ebd954b82eecdc3f479e38c661a33922d440fb0b232636,2917500,Business
84,0xb3bb23ee9565de54f7fdd2311b51d77121bb3f9d6d371bfffa369e75579010a5,2917500,Business
85,0xdcecaf6f2a0ea40e78d4c2ad206a85bc2aca151af9d17d63433a7c959b622d7d,2935000,Business
86,0x3a244ab74ed56a2af25f3feeb1bcb4fd417793944c87839821a4f809d51db6a5,2135000,Premium
87,0x08454991fb694c44d735092d0d4b1d7dedec8a63e9c0728b6be6b079bc390f4b,2902500,Business
88,0x418189232d8c1ebff5397e1df86c65784ebab3137c44a2e8061955f4026583d0,2920000,Business
89,0x9a47e22220120ef0f45a935ad8acc5e0c4a023d5c72c0f6a22a0524d65ccb946,2707500,Business
90,0xee0a2e0597b201dbd5f9fd46622ab25e36872aeff2dc85339292f71b6a54874c,2935000,Business
91,0xa0143ec4f5cfbb6b154c85ed3a25c08639fd7585bf733282e7f4b6d923a312f5,2917500,Business
92,0x30b5354c1e84458579f44056c44dd970f093e621823dea444f0feb77a3ee4620,2917500,Business
93,0x523acd87d29bf86eaa96fbdaf0d9fd415a7d098306b0e02bae873d7a289437a4,2917500,Business
94,0x25e2c5e8fd5d7fa47b498898ed3bc1557c889f146681d7051c7ab1f2f99f2714,2917500,Business
95,0x7936d5c28d39f998c64ac5828af3c74f985be4842b4beae45baf585ac73ac3be,2935000,Business
96,0xca3b562598f4d44bf5023cd01139ef6e63f19b3deaa5a2ee9e63d9a2cde1db96,2502500,Business
97,0xa16416f5c912249611f0d635f79103a11969124cefd32e7c86ade0c9a2e4f0ba,2935000,Business
98,0xf8425dc45641f39d7ab3e7a832993a29430ecd68ae629a4b6183b551006cdff2,2935000,Business
99,0x1420ae1ca4f045b751f517554b2bb2cccd6dd7f55e5a7ec36668191e5b46f6cb,3062500,Business
100,0x0f8dd3114505c4830c8e6d08fd37f7a41e7b90905aad9b5875598061a7e76413,3077500,Business
101,0x8b01d399a8a445e317588e2351be26726dab764e1405f92c956071230d09d319,3047500,Business
102,0xb203ce222c3f0588c49cf8fc116e599163d2e084d43a7c13a0c9bcde7f6c0cee,1657500,Plus
103,0xcea8e9a5db69e8ff6b0e65c2494232b222f1f886399e8cb343aeb7f1f4c2fd3c,2040000,Premium
104,0x73173f108d29fde81680a0334b219426b83a377504ccf1cf38501ae873ed3d36,1437500,Plus
105,0x7bf445e32c67edfe72bcc1e843d3753263c80bb5656d03948dbcfccd67f5aec3,1642500,Plus
106,0x9539be00d6f15ee44fa0bdaee62029e0de5b65a0e5182b55ec72df3d17525970,2045000,Premium
107,0x831c0a287255860142468456a566a53c60c399f7d74e0d35a6aa09fcb690b8ae,1657500,Plus
108,0x739e95cf640c035f7bba51be242489add916ac813343784532a1bf0949552ab0,1432500,Plus
109,0xb82eb2e532fd3d942bc5d77ac421bfc2cc79639d114f97541a9d78d03d680fa2,2055000,Premium
110,0xba8dea30128f41d0c976e42728869f687f80cbe4464d36c249723a163577e76f,1642500,Plus
111,0x54765bbf604b455c563efee0e16e7a4a55f1d47275a1393c486bc9191eab91a4,1642500,Plus
112,0x9b62639d9bfdef53886bdc4434ee345758fae04e56e65d38086f81054c20293d,2050000,Premium
113,0x90cadfde5d01ddaba7e2f43b0890ff7102bf16a60187525f00287f1e1e7b011e,2050000,Premium
114,0x6eb372b99f097f8a5168d896f7853f5f8aeb51ae889ee82d6b42450b8bdceee8,2050000,Premium
115,0xce7a1ba6c401aaf92606a729655f33921188ae119a3f639cf7dde57d892ccd14,2050000,Premium
116,0x06d498f4685935b3d6dea4d57355ce2a5fda2c57d47d4f0a77055feb0dc2faae,2055000,Premium
117,0x2eb79c98654b0c92604280b4751f4cd90f8b840c1f91b8f43d3907e5499e8967,2050000,Premium
118,0x82a83119b1f77ba299b9e2467179aa7368464c943d472a2a74ac677805e6b30c,2050000,Premium
119,0x29fba4551a269ba679d3e516eaae4d58c3327f473eab3a81363533fdf08b44a3,2050000,Premium
120,0xaa1da1506df0647efb94d35d956e401a05b34ae2b81da68ce324fabff6d4d609,2050000,Premium
121,0xf7a5c7c11e28b258213e06caa16abbca775adb5d8461233156cc27e7d5cfa5dc,2050000,Premium
122,0x5c768658ffcec868cdf10d931204f5039be057d3e6f0f4b90216635383b63429,2065000,Premium
123,0xce0c45ad634edea001a86cf028188a24ba4f091a220c98cab5a49dfcf393a871,2035000,Premium
124,0x9db16d734d6382da9731a5463e0b9267a5834886b9944c72a2532e6d5d6650fe,2050000,Premium
125,0x07d02c0aeb14e59ccb8ca0e3e6d2c65225b66c571d0539bf5d60d3cafde3f2da,2055000,Premium
126,0x39c78ec040a2cd348214897e3e33623d56ed0e688a7ec90e6fb20272a6f2b5db,1547500,Plus
127,0x5b3f16fa06ef611f1a47c209772dd96499a3330c484f0531ccbfcb28e9eb0318,2050000,Premium
128,0x51c2eb991c2911a02f86fec382732ede96a2e03b25e071a8ae14dd1bcb27c742,2055000,Premium
129,0xe2bfbb9f74abd720aa39ee60416881ec3cfcc7ad5455b6eaa17e870f3dd96e0a,1447500,Plus
130,0xdb7d7fd08e6d290095a925caf67801704d6dd06a9529a49e0c0dfce4bc10ebd9,2050000,Premium
131,0xc16336c02a648512637c291c3a586eeac33f0b5eedc445d65afc007c6d5dadf8,2050000,Premium
132,0x6fca56947a71aa28fa6f9dd0d2ba5bf91f4602f68e54eb59616298e4c870b03e,2050000,Premium
133,0x020531d9207b3131b895bf7ed63bb1a092391f2d09b15d1e570195aeafc3c6e9,2050000,Premium
134,0x4694d3693476748c10221a966a558884efb72f0c1baf6e7843d3b36abe219000,2045000,Premium
135,0xc402021a9915ceee48e029cd65954deed0f9b6cedc735091f4625042c0318f72,2035000,Premium
136,0x249414054a59f08a095607dde83a0b1721d30548eff6b61593d2b55f545c0cb8,2055000,Premium
137,0xc5729e88f0499881451c45c138e6882589e078c74b9fad56dcafa576ac72757a,2045000,Premium
138,0x5f0283224722ad2fa0eab98724d1bc83ce623f5cbfa6dfe87f7238b086e3ad79,2050000,Premium
139,0x064d42d1f2da3999b559f2021db0aebe908d416ada32e7b81b42ba6b64f1dd03,2065000,Premium
140,0x829845c174b5eb20bdead434912f1dfd64dd00070231b5a4b9f3e04e4ff618e7,2035000,Premium
